step ,Contenu,Type de champ,Placeholder
"step 1 ""intervention""",Message radio Pompier ,H1,
,progress-bar,"step 1 ""intervention""
step 2 ""je suis""
step 3 ""je vois""
step 4 ""victimes""
step 5 ""je fais""
step 6 ""je demande""
step 7 ""message""",
,Intervention numéro,Label,
,Intervention numéro,"imput type=""text""",
,Motif de départ,Select(AVP / Feu de bâtiment / Feu de VL / Fuite de GAZ / Fumée suspecte / Déclenchement alarme / Autre),
,Divider,Ligne de séparation,
,Groupe horaire,Label,
,Groupe horaire,"Bouton pour prendre l'heure actuelle ""Récupérer le groupe horaire actuel""",
,Groupe horaire récupéré,Label,
,Groupe horaire récupéré,"Champs rempli avec l'horaire récupéré, placeholder ""Groupe horaire récupéré automatiquement """,
,Ou,label en italique,
,Saisir un groupe horaire,"imput type=""time""",
,Ligne de séparation,Divider,
,Suivant →,Bouton qui amène à l'étape suivante,
,,,
"step 2 ""je suis""",,,
,Adresse initiale confirmée / modifiée,Select (Confirmée / modifiée),
,Adresse ,"imput type=""text"" placeholder ""Saisissez une adresse""",
,Commune,"Imput text avec placeholder ""Saisissez une commune""",
,Ligne de séparation,Divider,
,Type de route,"Select (Autoroute, Route nationale, Route départementale, rocade intérieure, rocade extérieure)",
,Numéro de route,"Imput text avec placeholder ""Saisissez nom échangeur""",
,PK,"Imput text avec placeholder ""Saisissez numéro PK""",
,Sens,"Imput text avec placeholder ""Saisissez un sens""",
,Ligne de séparation,Divider,
,← Précédent ,Bouton qui amène à l'étape précédente,
,Suivant →,Bouton qui amène à l'étape suivante,
,,,
"step 3 ""je vois""",AVP,Bouton qui révèle les champs AVP en dessous,
,Feu de véhicule,Bouton qui révèle les champs Feu de véhicule,
,Feu de bâtiment,Bouton qui révèle les champs Feu de bâtiment,
,Autre type d’intervention ,"Select ""Chute de ligne électrique, Fuite de gaz procédure classique, Fuite de gaz procédure renforcée, Fumée suspecte, Odeur de brulé, Autre type de feu)",
,,,
"step 3 ""je vois"" - AVP",Nombre et type de véhicules impliqués,Label,
,Véhicule léger,Bouton plus ou moins de chaque coté ,
,Précisions sur véhicule léger ,"Imput text avec placeholder ""Énergie.."" qui se révèle si au moins 1 véhicule léger à été ajouté sur le champs ""Véhicule léger""",
,Poids lourd,Bouton plus ou moins de chaque coté ,
,Précisions sur véhicule poids lourd (TMD),"Imput text avec placeholder ""Nature du transport, code danger, code matière"" qui se révèle si au moins 1 poids lourd à été ajouté sur le champs ""poids lourd""",
,Deux roues ,Bouton plus ou moins de chaque coté ,
,Précisions sur deux roues,"Imput text avec placeholder ""Préciser nature, moto, scooter, trottinette.."" qui se révèle si au moins 1 deux roues à été ajouté sur le champs ""deux roues""",
,Bus,Bouton plus ou moins de chaque coté ,
,Précisions sur bus,"Imput text avec placeholder ""Préciser, bus scolaire, tourisme, nom société.."" qui se révèle si au moins 1 un bus à été ajouté sur le champs ""Bus""",
,Autre type de véhicule impliqués,"Imput text avec placeholder ""Préciser nature et nombre, train, tram, numéro de ligne.."" ",
,"Ajouter détails (fuite, feu autre..)","Bouton qui révèle les champs : ""Présence d’une fuite en phase, Localisation de la fuite, Présence d’un feu sur, Localisation du feu, Circonstances particulières""",
,Présence d’une fuite en phase,"Select(Liquide, gazeuse, inflammée)",
,Localisation de la fuite,"Imput text avec placeholder ""préciser localisation""",
,Présence d’un feu sur,"Imput text avec placeholder ""Préciser quel véhicule""",
,Localisation du feu,"Imput text avec placeholder ""Préciser localisation du feu""",
,Circonstances particulières,"Imput text avec placeholder ""Choisir (feu, ravin, eau, matière dangereuse)""",
,État de la circulation sur la voie,"Select(Coupée, alternée, ralentie)",
